gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,1,1,64,1,0,81.05,5135.35,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,1,47,1,1,84.95,4018.05,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False
0,0,1,1,2,0,0,29.05,44.75,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,0,1,1,0,20.2,20.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,1,1,1,50.7,50.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,72,1,1,113.1,8248.5,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
0,0,1,1,32,1,0,89.6,2901.8,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,1,1,0,1,1,1,74.45,74.45,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,71,0,1,47.6,3377.8,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
1,0,1,1,15,1,0,75.1,1151.55,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,0,47,1,1,95.2,4563.0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False
1,0,1,1,34,1,1,97.7,3410.0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
1,0,1,1,50,1,1,103.85,5017.9,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0,10,1,0,20.0,198.7,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,1,0,0,8,1,1,92.1,729.95,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,23,1,0,19.65,436.9,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
1,0,0,0,7,1,1,74.9,490.55,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,23,1,0,84.25,1968.1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,72,1,0,90.95,6652.45,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,30,1,0,85.15,2555.9,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False
0,1,1,0,31,0,1,50.4,1580.1,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
1,0,0,0,3,1,0,107.95,313.6,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True
0,1,0,0,24,1,1,20.3,459.95,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,0,0,62,1,1,74.3,4698.05,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,True,False,False
1,0,1,1,37,0,0,40.2,1448.8,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,0,0,62,1,1,19.2,1123.65,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,11,1,1,73.5,791.75,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,10,0,0,36.25,374.0,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False
0,0,0,0,37,1,1,101.9,3545.35,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False
1,1,0,0,72,1,1,25.1,1789.9,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,19,1,1,84.75,1651.95,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1,1,1,19.6,19.6,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,23,1,1,73.65,1642.75,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
0,1,1,0,43,1,1,109.55,4830.25,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,True
1,0,0,0,46,1,1,94.9,4422.95,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
1,0,0,1,9,1,0,20.4,184.1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,1,24,1,1,19.7,494.05,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,0,8,1,1,100.15,908.55,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False
0,0,1,1,10,1,0,85.95,858.6,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,1,1,71,1,1,70.85,4973.4,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
0,0,1,1,5,0,1,30.5,167.2,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,41,1,1,83.75,3273.55,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,58,1,0,71.6,4230.25,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False
0,0,0,0,3,1,1,69.95,220.45,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,1,1,67,1,1,19.4,1284.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,13,0,1,30.85,394.1,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,1,1,1,1,20.2,20.2,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
1,0,1,1,71,1,0,100.2,7209.0,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
1,0,0,0,8,1,1,54.75,438.05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1,0,0,0,28,1,1,91.25,2483.65,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False
0,0,1,0,71,1,0,23.85,1672.1,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,0,67,1,1,118.35,7804.15,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
1,0,1,1,63,1,1,89.4,5597.65,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0,5,1,1,80.6,415.55,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,37,1,1,78.9,2976.95,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False
0,0,1,0,53,1,1,111.8,5809.75,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
0,0,0,1,12,1,1,44.55,480.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,70,1,0,19.7,1341.5,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,3,1,1,74.4,229.55,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,14,1,1,82.65,1185.0,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,61,0,0,43.7,2696.55,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False
1,0,0,0,4,1,1,88.45,370.65,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,0,0,1,1,0,90.6,90.6,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,0,0,10,0,1,29.65,291.4,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
1,0,0,1,23,1,1,55.3,1284.2,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
1,0,0,1,27,1,0,20.6,581.85,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,1,0,72,1,0,78.45,5682.25,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
1,0,1,1,66,0,0,50.55,3364.55,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False
1,0,1,1,35,1,1,109.95,3782.4,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False
0,0,0,0,1,1,1,45.3,45.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,1,0,0,12,1,1,73.3,828.05,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0,0,0,26,0,1,44.65,1156.55,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
0,0,0,0,18,0,1,35.2,607.3,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,1,0,3,0,0,29.8,94.4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,0,0,67,1,0,20.55,1343.4,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
0,0,1,1,12,1,0,20.3,224.5,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False
0,1,1,0,32,1,1,85.95,2628.6,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
1,1,0,0,9,1,1,85.05,746.5,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
1,1,1,1,52,1,1,80.85,4079.55,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
0,0,0,0,17,1,0,20.05,337.9,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
1,1,0,0,70,0,1,45.25,3264.45,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False
0,0,0,1,14,1,1,86.0,1164.05,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,1,1,18,1,1,61.5,1087.45,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
1,0,0,0,46,0,1,60.75,2893.4,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False
1,1,1,0,13,1,1,98.0,1237.85,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,19,1,1,78.7,1495.1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
0,0,0,0,3,1,0,71.1,213.35,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True
1,0,1,1,62,1,0,20.65,1218.45,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,1,0,0,38,1,0,20.2,735.9,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,0,7,1,0,19.25,112.3,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,0,0,46,1,0,55.65,2688.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False
0,0,0,1,12,1,1,78.3,909.25,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,10,1,0,19.6,189.45,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,0,0,9,1,1,73.8,704.3,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
1,0,0,0,24,1,1,51.15,1275.7,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,4,1,1,91.65,365.4,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,46,1,0,84.25,3847.6,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
0,1,0,0,67,1,1,92.45,6140.85,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False
0,0,1,1,14,1,0,80.45,1137.05,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
0,0,1,1,44,1,0,19.6,780.25,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,9,1,0,19.05,157.65,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,1,1,1,81.95,81.95,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,1,0,57,1,1,109.4,6252.7,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
1,0,0,0,1,1,1,20.1,20.1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,1,1,0,69,1,1,109.95,7634.25,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False
0,0,1,1,65,1,0,109.3,7337.55,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False
1,0,1,0,52,1,1,91.6,4627.8,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False
0,0,0,0,4,1,1,20.15,68.45,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,0,0,0,1,1,0,18.85,18.85,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
1,0,0,0,1,1,0,45.75,45.75,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,72,1,1,99.15,7422.1,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False
0,0,0,0,53,0,1,53.6,2879.2,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,False
1,0,0,1,72,0,0,67.2,4671.7,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,2,1,0,69.65,145.15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,0,0,72,1,0,113.8,7845.8,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,1,1,1,1,1,45.85,45.85,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,67,1,1,24.9,1680.25,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0,18,1,0,20.1,407.05,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,1,0,0,2,1,1,70.35,139.05,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,12,1,0,74.05,872.65,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True
0,0,0,0,42,1,0,66.5,2762.75,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
1,0,0,1,31,1,1,79.45,2587.7,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,False,False,True
1,0,1,0,69,1,1,53.65,3804.4,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0,0,1,1,67,1,0,84.8,5598.3,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
1,0,1,1,51,1,0,19.55,1086.75,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,65,1,0,24.8,1600.95,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False
1,0,0,0,25,1,0,20.6,541.5,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,1,0,58,1,1,102.1,5885.4,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False
1,1,1,0,52,1,1,104.45,5481.25,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False
1,1,0,0,37,0,0,36.65,1315.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,4,1,0,23.9,97.5,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False
0,1,0,0,63,1,1,89.6,5538.8,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
1,0,1,0,53,1,1,94.25,4867.95,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,False
0,0,1,1,32,1,1,86.1,2723.75,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,30,1,1,94.4,2638.1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False
0,0,1,0,11,1,1,94.0,1078.9,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,69,0,0,46.25,3121.4,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
0,0,1,1,61,0,0,51.35,3244.4,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False
0,0,0,0,9,1,0,98.3,923.5,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
0,0,1,0,18,1,1,50.3,908.75,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
0,0,1,1,58,1,1,19.85,1158.85,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,0,35,1,1,99.05,3554.6,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,1,14,1,0,76.1,1054.8,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False
0,0,1,1,58,1,0,20.5,1191.4,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
0,0,0,0,9,1,1,74.65,703.55,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,1,1,0,51,1,1,77.5,3807.35,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,30,1,0,19.05,637.55,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
1,0,0,0,4,1,0,51.75,201.1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
0,1,0,0,14,1,0,78.85,1043.8,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
0,1,1,0,23,1,1,95.1,2326.05,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,17,1,1,70.8,1207.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,0,8,1,1,49.55,393.45,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,1,0,61,1,0,75.35,4729.3,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False
0,0,1,1,72,1,0,107.45,7658.3,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False
1,0,0,0,1,1,0,49.0,49.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,1,20,1,0,20.0,417.65,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False
0,0,1,1,72,1,1,85.9,6110.75,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0,71,1,1,79.05,5552.5,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
0,0,1,1,72,1,0,117.5,8670.1,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
1,0,0,0,37,1,1,70.35,2552.9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,70,1,1,80.15,5600.15,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
0,0,1,1,51,1,1,90.15,4554.85,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
0,0,1,1,28,1,1,70.4,1992.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,0,1,0,1,1,1,68.95,68.95,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,40,1,0,19.1,780.1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,0,0,0,8,1,0,49.4,408.25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,1,0,0,13,1,1,74.3,940.35,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,1,0,0,35.9,35.9,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
0,1,0,0,17,1,0,20.65,330.6,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True
0,0,1,0,16,1,1,94.65,1461.15,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
1,0,0,0,1,1,1,50.75,50.75,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,1,1,22,1,1,75.8,1615.1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,1,0,0,16,1,1,96.15,1529.2,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,45,1,1,105.15,4730.9,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,3,1,1,69.55,200.2,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,0,15,1,1,100.15,1415.0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,0,25,1,1,104.95,2566.5,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False
0,1,0,0,1,1,1,86.0,86.0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
1,0,1,0,47,1,0,19.9,942.95,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,1,1,0,5,1,1,79.9,343.95,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
0,0,1,0,71,1,1,84.8,6046.1,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False
1,0,0,0,3,0,0,24.75,66.95,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,1,1,1,1,69.8,69.8,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,1,1,50,1,1,69.65,3442.15,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False
